epoch,acc,loss,lr,val_acc,val_loss
0,0.48295595919382933,1.9835615471305761,0.001,0.2051282062744483,4.6207094314770822
1,0.53757153520776313,1.6413030638033907,0.001,0.05128205242829445,3.5466699783618632
2,0.55585966659855801,1.4553366451009526,0.001,0.076923076923076927,3.6852516638926969
3,0.57178402586225319,1.3211617527924002,0.001,0.23076923306171709,3.9480947408920679
4,0.58310525006591218,1.2433244549359039,0.001,0.10256410256410256,3.4733755771930399
5,0.57763125156994388,1.1979780418714441,0.001,0.2564102575564996,2.7809434365003538
6,0.58758397612829183,1.1695045839052469,0.001,0.33333333409749544,2.5485327855134621
7,0.59218711122169698,1.1205686006892466,0.001,0.05128205128205128,4.0623907553843965
8,0.5850957949590434,1.133404146308002,0.001,0.25641025717441851,2.2434100615672574
9,0.61259019656630997,1.0798336990616992,0.001,0.12820513049761453,3.2557757084186258
